frame_id,found,nid2,nid1,pci,peak_pos,sss_pos,toa_ns,cfo_hz,pss_metric,pss_peak_ratio,sss_metric,sss_peak_ratio
206,0,-1,-1,-1,0,0,0,0.000,0.000000,1.050547,0.000000,0.000000
207,0,-1,-1,-1,0,0,0,0.000,0.000000,1.053101,0.000000,0.000000
208,1,0,-1,-1,2226,0,27805723,-11673195.000,0.068447,1.104009,0.000000,1.012185
209,1,0,142,426,2522,3926,27948692,-10854436.000,0.063763,1.136469,0.076492,1.192778
210,0,-1,-1,-1,0,0,0,0.000,0.000000,1.074868,0.000000,0.000000
211,1,0,-1,-1,210,0,28140097,12107359.000,0.088625,1.408470,0.000000,1.032023
212,0,-1,-1,-1,0,0,0,0.000,0.000000,1.023950,0.000000,0.000000
213,1,2,-1,-1,2028,0,28465943,-9415500.000,0.068052,1.115676,0.000000,1.016544
214,0,-1,-1,-1,0,0,0,0.000,0.000000,1.013368,0.000000,0.000000
215,1,2,-1,-1,3582,0,28783195,2253829.250,0.080123,1.085021,0.000000,1.025464
216,1,0,-1,-1,1536,0,28849927,-10873172.000,0.076761,1.116439,0.000000,1.002874
217,1,1,-1,-1,2438,0,29012621,3823332.250,0.071520,1.181498,0.000000,1.076076
218,0,-1,-1,-1,0,0,0,0.000,0.000000,1.047873,0.000000,0.000000
219,1,2,-1,-1,20,0,29200577,8329480.000,0.083058,1.277756,0.000000,1.017787
220,1,1,234,703,1246,3412,29373818,12494758.000,0.085184,1.168587,0.096226,1.169010
221,0,-1,-1,-1,0,0,0,0.000,0.000000,1.048018,0.000000,0.000000
222,1,2,-1,-1,1446,0,29646995,2091309.750,0.070270,1.134635,0.000000,1.010407
223,0,-1,-1,-1,0,0,0,0.000,0.000000,1.046084,0.000000,0.000000
224,0,-1,-1,-1,0,0,0,0.000,0.000000,1.066547,0.000000,0.000000
225,1,1,-1,-1,1442,0,30046864,-9960781.000,0.067764,1.155166,0.000000,1.050932
226,0,-1,-1,-1,0,0,0,0.000,0.000000,1.033202,0.000000,0.000000
227,1,2,-1,-1,32,0,30267631,1267018.125,0.077149,1.230577,0.000000,1.009044
228,1,1,-1,-1,980,0,30431824,6468151.500,0.079257,1.328498,0.000000,1.011890
229,0,-1,-1,-1,0,0,0,0.000,0.000000,1.009609,0.000000,0.000000
230,1,2,-1,-1,2042,0,30733060,681981.688,0.081265,1.181583,0.000000,1.006581
231,0,-1,-1,-1,0,0,0,0.000,0.000000,1.039169,0.000000,0.000000
232,0,-1,-1,-1,0,0,0,0.000,0.000000,1.011969,0.000000,0.000000
233,0,-1,-1,-1,0,0,0,0.000,0.000000,1.044353,0.000000,0.000000
234,1,2,-1,-1,1382,0,31244907,9733279.000,0.088589,1.200841,0.000000,1.046640
235,0,-1,-1,-1,0,0,0,0.000,0.000000,1.074323,0.000000,0.000000
236,1,2,-1,-1,1316,0,31509425,9709051.000,0.068019,1.092870,0.000000,1.001033
237,0,-1,-1,-1,0,0,0,0.000,0.000000,1.019624,0.000000,0.000000
238,1,2,46,140,3118,3961,31834750,-7946059.000,0.075387,1.219289,0.104931,1.366360
239,0,-1,-1,-1,0,0,0,0.000,0.000000,1.055200,0.000000,0.000000
240,0,-1,-1,-1,0,0,0,0.000,0.000000,1.002886,0.000000,0.000000
241,1,0,-1,-1,1366,0,32177718,-13221128.000,0.085390,1.084140,0.000000,1.036173
242,0,-1,-1,-1,0,0,0,0.000,0.000000,1.006167,0.000000,0.000000
243,1,2,-1,-1,1696,0,32455126,-12433684.000,0.065599,1.198694,0.000000,1.050245
244,0,-1,-1,-1,0,0,0,0.000,0.000000,1.035827,0.000000,0.000000
245,1,2,285,857,3152,3914,32769188,3306463.750,0.073862,1.137360,0.082344,1.134039
246,1,0,63,189,1542,3621,32850112,6531545.500,0.069421,1.138364,0.121347,1.329045
247,0,-1,-1,-1,0,0,0,0.000,0.000000,1.037822,0.000000,0.000000
248,1,2,-1,-1,2852,0,33159421,-6374394.500,0.062157,1.143096,0.000000,1.002358
249,0,-1,-1,-1,0,0,0,0.000,0.000000,1.017725,0.000000,0.000000
250,1,2,306,920,3018,3956,33431491,3825875.500,0.071279,1.160893,0.084999,1.264701
251,0,-1,-1,-1,0,0,0,0.000,0.000000,1.006603,0.000000,0.000000
252,0,-1,-1,-1,0,0,0,0.000,0.000000,1.055090,0.000000,0.000000
253,0,-1,-1,-1,0,0,0,0.000,0.000000,1.047619,0.000000,0.000000
254,0,-1,-1,-1,0,0,0,0.000,0.000000,1.048496,0.000000,0.000000
255,1,1,-1,-1,2246,0,34073025,-8292372.000,0.068854,1.084615,0.000000,1.011587
256,1,1,-1,-1,3800,0,34256944,10682017.000,0.084717,1.275501,0.000000,1.023192
257,1,1,-1,-1,3150,0,34369119,14779858.000,0.080214,1.220399,0.000000,1.012013
258,0,-1,-1,-1,0,0,0,0.000,0.000000,1.059202,0.000000,0.000000
259,0,-1,-1,-1,0,0,0,0.000,0.000000,1.053866,0.000000,0.000000
260,1,2,173,521,2856,3959,34759547,5031429.000,0.078790,1.119787,0.077388,1.160383
261,0,-1,-1,-1,0,0,0,0.000,0.000000,1.079716,0.000000,0.000000
262,0,-1,-1,-1,0,0,0,0.000,0.000000,1.067132,0.000000,0.000000
263,0,-1,-1,-1,0,0,0,0.000,0.000000,1.069985,0.000000,0.000000
264,1,1,221,664,2258,3940,35273413,1617379.375,0.077682,1.143715,0.079013,1.106268
265,1,2,-1,-1,844,0,35360717,4545720.000,0.078781,1.154001,0.000000,1.074875
266,0,-1,-1,-1,0,0,0,0.000,0.000000,1.001105,0.000000,0.000000
267,1,1,-1,-1,1646,0,35653490,12595205.000,0.081893,1.239856,0.000000,1.006577
268,1,0,310,930,3320,3930,35841315,-4617262.000,0.071198,1.164387,0.084311,1.121218
269,1,1,-1,-1,2724,0,35955247,-1404231.375,0.074021,1.221008,0.000000,1.012644
270,0,-1,-1,-1,0,0,0,0.000,0.000000,1.077005,0.000000,0.000000
271,1,1,210,631,2426,3948,36212213,1912541.500,0.076502,1.162725,0.076001,1.093210
272,1,2,-1,-1,368,0,36278554,-135944.141,0.074607,1.098428,0.000000,1.079959
273,1,0,-1,-1,2108,0,36468527,-4405524.000,0.087272,1.268870,0.000000,1.032397
274,0,-1,-1,-1,0,0,0,0.000,0.000000,1.045753,0.000000,0.000000
275,1,2,170,512,2302,3942,36741508,-13323913.000,0.064377,1.161474,0.081778,1.163068
276,0,-1,-1,-1,0,0,0,0.000,0.000000,1.035542,0.000000,0.000000
277,0,-1,-1,-1,0,0,0,0.000,0.000000,1.038860,0.000000,0.000000
278,1,0,-1,-1,232,0,37074125,-12874150.000,0.072875,1.240116,0.000000,1.070469
279,1,1,-1,-1,3216,0,37304593,2304036.000,0.073956,1.239427,0.000000,1.077840
280,1,1,-1,-1,3686,0,37453225,1539442.000,0.068057,1.124934,0.000000,1.054509
281,0,-1,-1,-1,0,0,0,0.000,0.000000,1.047028,0.000000,0.000000
282,0,-1,-1,-1,0,0,0,0.000,0.000000,1.051004,0.000000,0.000000
283,1,0,-1,-1,974,0,37764943,3569905.250,0.071743,1.122913,0.000000,1.011743
284,0,-1,-1,-1,0,0,0,0.000,0.000000,1.028535,0.000000,0.000000
285,0,-1,-1,-1,0,0,0,0.000,0.000000,1.038423,0.000000,0.000000
286,1,1,-1,-1,1960,0,38197039,1345740.000,0.078744,1.243989,0.000000,1.024910
287,0,-1,-1,-1,0,0,0,0.000,0.000000,1.039367,0.000000,0.000000
288,1,2,-1,-1,266,0,38408561,2694127.250,0.069440,1.154384,0.000000,1.038742
289,1,2,-1,-1,1142,0,38570410,2441829.250,0.072500,1.253251,0.000000,1.077588
290,0,-1,-1,-1,0,0,0,0.000,0.000000,1.013064,0.000000,0.000000
291,0,-1,-1,-1,0,0,0,0.000,0.000000,1.012786,0.000000,0.000000
292,1,2,-1,-1,3746,0,39055175,2068507.625,0.078011,1.226781,0.000000,1.040277
293,1,0,-1,-1,516,0,39083364,-2625709.000,0.075258,1.156590,0.000000,1.004430
294,0,-1,-1,-1,0,0,0,0.000,0.000000,1.063266,0.000000,0.000000
295,1,1,36,109,1104,3065,39369171,8149152.000,0.081037,1.366435,0.093013,1.144351
296,1,0,-1,-1,1084,0,39501853,-40456.863,0.077952,1.229112,0.000000,1.028221
297,1,0,301,903,128,2069,39604066,9904881.000,0.083260,1.235941,0.098082,1.163900
298,1,0,-1,-1,1342,0,39776917,955845.688,0.061216,1.093933,0.000000,1.018362
299,0,-1,-1,-1,0,0,0,0.000,0.000000,1.016138,0.000000,0.000000
300,0,-1,-1,-1,0,0,0,0.000,0.000000,1.049245,0.000000,0.000000
301,1,0,-1,-1,3530,0,40248140,-3926621.750,0.082519,1.463707,0.000000,1.029913
302,1,2,-1,-1,804,0,40292736,-7851558.000,0.088325,1.106141,0.000000,1.023891
